Actor,Character
Mathieu Amalric,Thomas
Nicolas Cage,Stone
Elijah Wood,Waters
Sky Ferreira,Woman
Eric Heister,Big Irish Guy
Sandra Bullock,Sidda
Ellen Burstyn,Vivi
Fionnula Flanagan,Teensy
James Garner,Shep Walker
Jamie Kennedy,B-Rad
Ryan O'Neal,Bill Gluckman
Blair Underwood,Tom Gibbsons
Taye Diggs,Sean
Sean Bean,Ewan
Charlotte Rampling,Charlotte
Abhin Galeya,Ash
Tom Burke,Mark
Salman Khan,Radhe Mohan
Bhoomika Chawla,Nirjara Bharadwaj
Sachin Khedekar,Radhe's brother
Savita Prabhune,Radhe's sister-in-law
Eddie Murphy,Chris Carver
Tracee Ellis Ross,Carol Carver
Jillian Bell,Pepper
Genneya Walton,Joy Carver
Mercedes Mason,Jenny
Josh Cooke,Henry
Mattie Liptak,George
Ignacio Serricchio,Ed
Mark Duplass,Jim
Sarah Paulson,Amanda
Clu Gulager,Waynie
James Andrews,Background
Taapsee Pannu,Antara Awasthi/Antara Vashisht
Pavail Gulati,Anay Anand
Nassar,Dr. Sethupathi
Saswata Chatterjee,Raja Ghosh
Bai Ling,"Mei (segment ""Dumplings"""
Lee Byung-hun,"Director (segment ""Cut"""
Kyoko Hasegawa,"Kyoko (segment ""Box"""
Po-Lin Lau,"Li's Maid (segment ""Dumplings"""
Donnie Yen,Silent Wolf
Michelle Yeoh,Yu Shu Lien
Harry Shum Jr.,Wei Fang
Natasha Liu Bordizzo,Snow Vase
Aaron Eckhart,Bill
Jessica Alba,Lucy
Logan Lerman,The Kid
Elizabeth Banks,Jess
Niamh Algar,Enid Baines
Michael Smiley,Doug Smart
Nicholas Burns,Sanderson
Vincent Franklin,Fraser
Ellie Kemper,Pam McKenzie
Rob Delaney,Jeff McKenzie
Archie Yates,Max Mercer
Aisling Bea,Carol Mercer
Lucas Pittaway,Jamie Vlassakis
Daniel Henshall,John Bunting
Louise Harris,Elizabeth Harvey
Bob Adriaens,Gavin
Forest Whitaker,Jeronicus
Keegan-Michael Key,Gustafson
Hugh Bonneville,Mr. Delacroix
Anika Noni Rose,Jessica
Salman Khan,Jai Agnihotri
Daisy Shah,Rinky Shah
Tabu,Geeta
Danny Denzongpa,Dashrat Singh
Rachel Melvin,Mary
Cortney Palm,Zoe
Lexi Atkins,Jenn
Hutch Dano,Sam
Jeremy Irons,Raimund Gregorius
Mélanie Laurent,Young Estefânia
Jack Huston,Amadeu
Martina Gedeck,Mariana
Paul McGann,Vicar
James Corden,Fletch
MyAnna Buring,Lotte
Silvia Colloca,Carmilla
John Cusack,David
Amanda Peet,Harlee
Bobby Coleman,Dennis
Sophie Okonedo,Sophie
Grace Byers,Allison
Jermaine Fowler,Clifton
Melvin Gregg,King
X Mayo,Shanika
Naomi Watts,Princess Diana
Naveen Andrews,Hasnat Khan
Cas Anvar,Dodi Fayed
Charles Edwards,Patrick Jephson
Chloë Grace Moretz,Luli
Blake Lively,Glenda
Rory Culkin,Clement
Eddie Redmayne,Eddie
Paul Rudd,Alvin
Emile Hirsch,Lance
Lance LeGault,Truck Driver
Joyce Payne,Lady
Vanessa Hudgens,Brooke
Josh Whitehouse,Sir Cole
Emmanuelle Chriqui,Madison
Ella Kenion,Old Crone
Dominic Cooper,Mitch Brockden
Samuel L. Jackson,Clinton Davis
Gloria Reuben,Det. Blake Kanon
Ryan Robbins,Jimmy Logan
Nina Hoss,Nelly Lenz
Ronald Zehrfeld,Johnny Lenz
Nina Kunzendorf,Lene Winter
Trystan Pütter,Soldat an der Brücke
Nia Vardalos,Georgia
Richard Dreyfuss,Irv
Rachel Dratch,Kim
Alexis Georgoulis,Poupi
Brady Jandreau,Brady Blackburn
Mooney,Gus
Tim Jandreau,Wayne Blackburn
Lilly Jandreau,Lilly Blackburn
Ryan Phillippe,Brandon King
Abbie Cornish,Michelle
Joseph Gordon-Levitt,Tommy Burgess
Rob Brown,Isaac 'Eyeball' Butler
Brie Larson,Kit
Samuel L. Jackson,The Salesman
Joan Cusack,Gladys
Bradley Whitford,Gene
Jean Dujardin,Octave Parango
Jocelyn Quivrin,Charles 'Charlie' Dagout
Patrick Mille,Jean-François 'Jeff' Marolles
Vahina Giocante,Sophie
Drew Fuller,Jason Stevens
James Garner,Howard 'Red' Stevens
Abigail Breslin,Emily Rose
Bill Cobbs,Mr. Theophilus Hamilton
Sonia Braga,Clara
Maeve Jinkings,Ana Paula
Irandhir Santos,Roberval
Humberto Carrão,Diego
Elijah Wood,Norval Greenwood
Stephen McHattie,Gordon
Garfield Wilson,Ronald Plum
Madeleine Sami,Gladys
John Cusack,Emerson Kent
Malin Akerman,Katherine
Liam Cunningham,Grey
Richard Brake,Max
Chris Carmack,Sam Reide
Rachel Miner,Jenna Reide
Melissa Jones,Vicki
Kevin Yon,Harry Goldburg
Sareum Srey Moch,Loung Ung
Phoeung Kompheak,Pa Ung
Sveng Socheata,Ma Ung
Mun Kimhak,Kim
Jensen Ackles,Batman/Bruce Wayne
Josh Duhamel,Harvey Dent
Naya Rivera,Catwoman/Selina Kyle
Troy Baker,Joker/Antoni
Anne Hathaway,Allison Lang
Bijou Phillips,Emily
Shiri Appleby,Amanda
Michael Biehn,Stuart Lang
Manuela Velasco,Ángela Vidal
Paco Manzanedo,Guzmán
Héctor Colomé,Dr. Ricarte
Ismael Fritschi,Nic
Ben Winchell,Max McGrath
Josh Brener,Steel
Maria Bello,Molly McGrath
Andy Garcia,Dr. Miles Edwards
Alison Brie,Sarah
Molly Shannon,Joan
Goldenite,Willow
Stella Chesnut,Shannon
Ajith Kumar,ACP Arjun Kumar
Huma Qureshi,Sophia
Kartikeya Gummakonda,Naren
Gurbani,Sara
Edward Burns,Travis Ryer
Ben Kingsley,Charles Hatton
Catherine McCormack,Sonia Rand
Armin Rohde,John Wallenbeck
Paul Kaye,Frankie Wilde
Beatriz Batarda,Penelope Garcia
Kate Magowan,Sonja Slowinski
Mike Wilmot,Max Haggar
Ashley Greene,Kelly
Sebastian Stan,Ben
Tom Felton,Patrick
Julianna Guill,Lydia
Pat Healy,Craig Daniels
Ethan Embry,Vince
Sara Paxton,Violet
David Koechner,Colin
Kristin Scott Thomas,Juliette
Elsa Zylberstein,Léa
Serge Hazanavicius,Luc
Laurent Grévill,Michel
Johnny Depp,Russell Poole
Forest Whitaker,Jack Jackson
Toby Huss,Detective Fred Miller
Dayton Callie,Lieutenant O'Shea
Crispin Glover,Willard
R. Lee Ermey,Mr. Martin
Laura Harring,Cathryn
Jackie Burroughs,Mrs. Stiles
Kristen Wiig,Sharon Gordon Fisherman/Star
Annie Mumolo,Barb
Jamie Dornan,Edgar Pagét
Damon Wayans Jr.,Darlie Bunkle
Romain Duris,Thomas Seyr
Aure Atika,Aline
Emmanuelle Devos,Chris
Niels Arestrup,Robert Seyr
Owen Wilson,Greg Wittle
Salma Hayek,Isabel Clemens
Nesta Cooper,Emily Wittle
Jorge Lendeborg Jr.,Arthur Wittle
Dhanush,Anbu
Ameer Sultan,Rajan
Radha Ravi,Muthu
Daniel Balaji,Thambi
Ashley Judd,Terri
Jonah Hauer-King,Lucas
Edward James Olmos,Axel
Alexandra Shipp,Olivia
Ingrid Bolsø Berdal,Frau Scheisse
Iván González,"Bobo (segment ""X is for XXL"""
Kyra Zagorsky,"Lainey (segment ""V is for Vagitus"""
Lucy Clements,"Lulu (segment ""S is for Speed"""
Alia Bhatt,Shanaya Singhania
Sidharth Malhotra,Abhimanyu 'Abhi' Singh
Varun Dhawan,Rohan 'Ro' Nanda
Rishi Kapoor,Dean Yogendra 'Yogi' Vashishth
Joshua Fredric Smith,Captain Frederick Brown
Megha Burman,Raziya
Linda Arsenio,Sandra
Michael Herbig,Abahachi/Winnetouch/Grauer Star (extended edition
Christian Tramitz,Ranger
Marie Bäumer,Uschi
Sky du Mont,Santa Maria
Alexander Skarsgård,Det. Terry Monroe
Michael Peña,Bob Bolaño
Theo James,Lord James Mangan
Tessa Thompson,Jackie Hollis
Drew Barrymore,Rachel Kramer
John Krasinski,Adam Carlson
John Pingayak,Malik
Ahmaogak Sweeney,Nathan
Morgan Freeman,Monte Wildhorn
Virginia Madsen,Charlotte O'Neil
Madeline Carroll,Willow O'Neil
Emma Fuhrmann,Finnegan O'Neil
Dieter Laser,Bill Boss
Laurence R. Harvey,Dwight Butler
Eric Roberts,Governor Hughes
Robert LaSardo,Inmate 297
Erkan Petekkaya,Cevdet
Baran Bölükbasi,Yusuf
Tugay Mercan,Gürcan
Serkan Ercan,Mustafa
Josh Hartnett,The Drifter
Demi Moore,Alexandra
Woody Harrelson,The Bartender
Gackt,Yoshi
Ray Winstone,DI Jack Regan
Plan B,George Carter
Hayley Atwell,DC Nancy Lewis
Steven Mackintosh,DCI Ivan Lewis
Salman Khan,Inspector Chulbul Pandey
Sudeep,Balli Singh
Sonakshi Sinha,Rajjo Pandey
Saiee Manjrekar,Khushi
Charlie Hunnam,Gavin Nichols
Terrence Howard,Det. Hollis Lucetti
Patrick Wilson,Joe Harris
Liv Tyler,Shana Harris
Katie Parker,Callie
Courtney Bell,Tricia
Dave Levine,Det. Mallory
Justin Gordon,Det. Lonergan
Sydney Park,Makani Young
Théodore Pellerin,Ollie Larsson
Asjha Cooper,Alex Crisp
Dale Whibley,Zach Sandford
Daniel Auteuil,Victor Drumond
Guillaume Canet,Antoine
Doria Tillier,Margot
Fanny Ardant,Marianne Drumond
Anna Paquin,Regina
Lena Olin,Maria
Iain Glen,Mark
Giancarlo Giannini,Albert Rua
Rasmus Hardiker,Terry
Harry Treadaway,Andy
Michelle Ryan,Katy
Ashley Thomas,Mental Mickey
Bill Skarsgård,Mickey
Maika Monroe,Jules
Blake Baumgartner,Sweetiepie
Jeffrey Donovan,George
Anil Kapoor,Kamal Mehra
Shefali Shah,Neelam Mehra
Priyanka Chopra Jonas,Ayesha Mehra
Ranveer Singh,Kabir Mehra
Joey King,Ramona Quimby
Selena Gomez,Beezus Quimby
Bridget Moynahan,Dorothy Quimby
John Corbett,Robert Quimby
Diego Klattenhoff,Liam
Charlotte Sullivan,Jane
Brett Donahue,Sam
Bradley Sawatzky,Dr. Mayborne
Jennifer Aniston,Mickey Dawson
Yasiin Bey,Ordell Robbie
Isla Fisher,Melanie
Will Forte,Marshall Taylor
Clara Galle,Raquel
Julio Peña,Ares Hidalgo
Guillermo Lasheras,Yoshi
Natalia Azahara,Daniela
Jean Reno,Thibault
Christina Applegate,Rosalind/Julia
Christian Clavier,Andre
Matt Ross,Hunter
Jim Carrey,Tadek
Marton Csokas,Kozlov
Charlotte Gainsbourg,Kasia
Kati Outinen,Mr. Malinowska
Jeff Daniels,Richard Dunn
Emma Stone,Abby
Ryan Reynolds,Captain Excellent
Lisa Kudrow,Claire Dunn
Susan May Pratt,Amy
Richard Speight Jr.,James
Niklaus Lange,Zach
Ali Hillis,Lauren
Ed Harris,Ben
Jason Sudeikis,Matt Ryder
Elizabeth Olsen,Zooey Kern
Bruce Greenwood,Uncle Dean
Ellie Kemper,Helen
Luke Grimes,Jake
Nico Santos,Hugh
Blythe Danner,Gigi
Rory Culkin,Euronymous
Emory Cohen,Kristian 'Varg' Vikernes
Jack Kilmer,Pelle 'Dead' Ohlin
Sky Ferreira,Ann-Marit
Javier Gutiérrez,Javier Muñoz
Mario Casas,Tomás
Bruna Cusí,Lara
Ruth Díaz,Marga
Tim Allen,Dave Douglas
Kristin Davis,Rebecca Douglas
Craig Kilborn,Baxter
Zena Grey,Carly Douglas
Anthony LaPaglia,Leon
Geoffrey Rush,John
Rachael Blake,Jane
Kerry Armstrong,Sonja
Justin Hartley,Jake Turner
Barrett Doss,Rachel Campbell
Bonnie Bedelia,Ellie Foster
James Remar,Scott Turner
Michael Urie,Peter
Philemon Chambers,Nick
Luke Macfarlane,James
Barry Bostwick,Harold
Nikolaj Lie Kaas,Carl Mørck
Fares Fares,Assad
Johanne Louise Schmidt,Rose
Søren Pilmark,Marcus Jacobsen
Dane Cook,Dusty Crophopper
Ed Harris,Blade Ranger
Julie Bowen,Lil' Dipper
Curtis Armstrong,Maru
Judy Davis,Ms. Jibsen
Callum Keith Rennie,Father
Kyle Catlett,T.S. Spivet
Milla Jovovich,Anna Marchant
Julian McMahon,Sam Kerrest
David Atrakchi,Lanyon/Tearjerk Jack
Michael Shanks,Bryce
Cynthea Mercado,Jodi
Stephen Conroy,The Other
Amy Forsyth,Natalie
Reign Edwards,Brooke
Shaoqun Yu,Chinghai
Zhiui Chen,Huo Lung
Xing Yu,Chingkung
Jing Wu,Chingneng
Kirsten Dunst,Kelly Woods
Ben Foster,Berke Landers
Melissa Sagemiller,Allison McAllister
Sisqó,Dennis Wallace
Nawazuddin Siddiqui,Dashrath Manjhi
Radhika Apte,Phaguniya(Manjhi's Wife
Ashutosh Acharya,Photographer
Shahzad Ahmed,Gopal
Taylor Lautner,Cam
Marie Avgeropoulos,Nikki
Adam Rayner,Miller
Rafi Gavron,Dylan
John-Paul Howard,Ben
Piper Curda,Mallory
Jamison Jones,Liam
Azie Tesfai,Sara
Salman Khan,Chulbul Pandey
Sonakshi Sinha,Rajjo Pandey
Prakash Raj,Thakur Bachchalal Singh
Vinod Khanna,Prajapati Pandey
Andrew Sensenig,Paul Sacchetti
Barbara Crampton,Anne Sacchetti
Larry Fessenden,Jacob Lewis
Lisa Marie,May Lewis
Patrick Lawrie,"Kev (segment ""Vicious Circles"""
Emilia Ares,"Iris (segment ""Vicious Circles"""
Celia K. Milius,"Grandma (segment ""Vicious Circles"""
Steve Berens,"Cop (segment ""Vicious Circles"""
Taraji P. Henson,Ann Atwater
Sam Rockwell,C.P. Ellis
Babou Ceesay,Bill Riddick
Anne Heche,Mary Ellis
Thure Lindhardt,Flammen
Mads Mikkelsen,Citronen
Stine Stengade,Ketty Selmer
Peter Mygind,Aksel Winther
Salman Khan,Prem R. Kapoor
Asin Thottumkal,Pooja Malhotra/Sanjana Singh
Paresh Rawal,Balidaan 'Baali' Bhardwaj
Mahesh Manjrekar,Ram Kapoor
Laura Dern,Jennifer
Jason Ritter,Bill
Common,Martin
Elizabeth Debicki,Mrs. G
Benjamin Helstad,Erling/C-19
Trond Nilssen,Olav/C-1
Stellan Skarsgård,Bestyrer Håkon
Kristoffer Joner,Husfar Bråthen
Rachel Bilson,Emma Twist
Tom Sturridge,Will Donner
Richard Jenkins,Richard Twist
Blythe Danner,Miranda Twist
Ugur Yücel,Emin
Binnur Kaya,Asuman
Cengiz Bozkurt,Salih
Feyyaz Yigit,Dizdar Kosu
Ha Jung-woo,Gang-lim
Cha Tae-hyun,Kim Ja-hong
Ju Ji-hoon,Haewonmaek
Kim Hyang-gi,Lee Duk-choon
Peter Cilella,Michael Danube
Vinny Curran,Chris Daniels
Emily Montague,Jennifer Danube
Kurt David Anderson,Billy
Amitabh Bachchan,Pandit Omkarnath Dhar
Farhan Akhtar,Daanish Ali
Aditi Rao Hydari,Ruhana Ali
John Abraham,S.P
Tommy Lee Jones,Dave Robicheaux
John Goodman,Julie 'Baby Feet' Balboni
Peter Sarsgaard,Elrod T. Sykes
Mary Steenburgen,Bootsie Robicheaux
Edison Chen,Officer Lau Kin Ming
Shawn Yue,Chan Wing Yan
Anthony Chau-Sang Wong,SP Wong Chi Shing
Francis Ng,Ngai Wing Hau
Jackie Chan,Dragon Luo
John Cena,Chris
Chunrui Ma,Mei
Wenli Jiang,Professor Cheng
Shiloh Fernandez,Rickie
Noah Segan,JT
Candice King,Joann
Eric Podnar,Wheeler
Ashish Chhipa,Vikrant
Nawazuddin Siddiqui,Jatil Yadav
Radhika Apte,Radha
Aditya Srivastav,Munna Raja
Drew Barrymore,Jess
Toni Collette,Milly
Dominic Cooper,Kit
Paddy Considine,Jago
Robin Wright,Robin Wright
Harvey Keitel,Al
Jon Hamm,Dylan Truliner
Kodi Smit-McPhee,Aaron Wright
Blake Lively,Stephanie Patrick
Richard Brake,Eric Lehmans
Elly Curtis,Sarah Patrick
David Duggan,David Patrick
Nick Frost,Bruce
Rashida Jones,Julia
Chris O'Dowd,Drew
Olivia Colman,Sam
Michelle Williams,Wendy
Lucy,Lucy the Dog
David Koppell,Kid by Fire
Max Clement,Kid by Fire
Jeong Jae-yeong,Male Kim/Kim Seong-geun
Jung Ryeo-won,Kim Jung-yeon
Yang Mi-kyeong,Female Kim's Mom
Lupita Nyong'o,Miss Caroline
Alexander England,Dave
Josh Gad,Teddy McGiggle
Kat Stewart,Tess
Shannon Elizabeth,Natalie Parker
Jerry O'Connell,Michael Delany
Jake Busey,Kyle Brenner
Horatio Sanz,Steve
Xavier Samuel,Josh
Sharni Vinson,Tina
Adrian Pang,Jessup
Yuwu Qi,Steven
Shane West,Max Peterson
Edward Burns,John Reed
Ving Rhames,Agent Dave Grant
Jonathan Pryce,Mueller
Peter Sarsgaard,Stanley Milgram
Winona Ryder,Alexandra 'Sasha' Milgram
Jim Gaffigan,James McDonough
Anthony Edwards,Miller
Orlando Bloom,Brian Epkeen
Forest Whitaker,Ali Sokhela
Conrad Kemp,Dan Fletcher
Inge Beckmann,Ruby
Casey Affleck,Gerry
Matt Damon,Gerry
Hrithik Roshan,Ethan Mascarenhas
Aishwarya Rai Bachchan,Sofia D'Souza
Shernaz Patel,Advocate Devyani Dutta
Aditya Roy Kapoor,Omar Siddiqui
Michael Ealy,Scott
Meagan Good,Annie
Dennis Quaid,Charlie Peck
Joseph Sikora,Mike
Rajkummar Rao,Mahinder Hooda 'Montu'
Nushrratt Bharuccha,Neelima 'Neelu'
Mohd. Zeeshan Ayyub,I.M. Singh
Saurabh Shukla,Shukla
Joel Kinnaman,JW
Matias Varela,Jorge
Dragomir Mrsic,Mrado
Lisa Henni,Sophie
Natalie Portman,Celeste
Jude Law,The Manager
Stacy Martin,Eleanor
Jennifer Ehle,Josie the Publicist
Ingrid Bolsø Berdal,Jannicke
Rolf Kristian Larsen,Morten Tobias
Tomas Alf Larsen,Eirik
Endre Martin Midtstigen,Mikal
Matthew Knight,Jake
Shawnee Smith,Sullivan
Mike Straub,Orderly
Aiko Horiuchi,Kayako
John Krasinski,Project 77
Charlyne Yi,Mai
Jason Sudeikis,Justin Pin/Ares
Michael Peña,Momo
Jennifer Carpenter,Sonya Blade
Joel McHale,Johnny Cage
Ike Amadi,Jax Briggs
Steve Blum,Sub-Zero/Bi-Han
Teo Halm,Alex
Astro,Tuck
Reese Hartwig,Munch
Ella Wahlestedt,Emma
Danny Trejo,Frank
Charles S. Dutton,Panther
Ron Perlman,Mayor Williams
Patrick Fabian,Officer Malark
Brian O'Halloran,Dante
Jeff Anderson,Randal
Vincent Pereira,Hot Goalie
Mike Zapcic,Hockey Player
Aml Ameen,Trife
Red Madrell,Alisa
Noel Clarke,Sam
Adam Deacon,Jay
Holger Andersson,Jonathan
Nils Westblom,Sam
Viktor Gyllenberg,King Karl XII
Lotti Törnros,Flamenco Teacher
Dan Stevens,Charles Dickens
Mark Schrier,Presenter
Patrick Joseph Byrnes,Stage Manager
Miriam Margolyes,Mrs. Fisk
János Derzsi,Ohlsdorfer
Erika Bók,Ohlsdorfer's daughter
Mihály Kormos,Bernhard
Ricsi,Horse
Jim Cummings,Officer Jim Arnaud
Kendal Farr,Crystal Arnaud
Nican Robinson,Officer Nate Lewis
Jocelyn DeBoer,Rosalind Arnaud
Seann William Scott,Doug Stauber
John C. Reilly,Richard Wehlner
Chris Conrad,Teddy Grahams
Rick Gonzalez,Ernesto
Al Pacino,Ray Archer
Karl Urban,Det. Will Ruiney
Brittany Snow,Christi Davies
Joe Anderson,Hangman
Mehmet Günsür,Özgür
Belçim Bilgin,Deniz
Altan Erkekli,Yilmaz
Ayda Aksel,Inci
Justin Long,Dell
Emmy Rossum,Kimberly
Kayla Servi,Stephanie
Eric Winter,Josh
Ajay Devgn,Inspector Bajirao Singham
Kajal Aggarwal,Kavya Bhosle
Prakash Raj,Jaikant Shikre
Sudhanshu Pandey,Inspector Rakesh Kadam
Elijah Wood,Tom Selznick
John Cusack,Clem
Kerry Bishé,Emma Selznick
Tamsin Egerton,Ashley
Killian Coyle,Deckhand Greg
Stuart Graham,Skipper
Michael Hough,First Mate Roy
Richard Coyle,Garda Ciarán O'Shea
Michael Abela,Personal Story
Brendan Archer,Personal Story
Joshua Barragan,Personal Story
Kai Wes,Personal Story
John Malkovich,Tom Ripley
Dougray Scott,Jonathan Trevanny
Lena Headey,Sarah Trevanny
Ray Winstone,Reeves
Kristen Wiig,Alice Klieg
James Marsden,Rich Ruskin
Linda Cardellini,Gina Selway
Wes Bentley,Gabe Ruskin
Josh Lucas,John
Rachael Taylor,Nancy
Rohan Nichol,Jocko
Luke Ford,Thomas Baker
Zoe Kazan,Kathy
Ella Ballentine,Lizzy
Aaron Douglas,Jesse
Christine Ebadi,Leslie Williams
Ricardo Darín,Roberto
Ignacio Huang,Jun
Carolina Hsu,Li
Muriel Santa Ana,Mari
Heather Graham,Alice
Joseph Fiennes,Adam Tallis
Natascha McElhone,Deborah
Ulrich Thomsen,Klaus
Milo Cawthorne,Brodie
James Joshua Blake,Zakk
Kimberley Crossman,Medina Darcy
Sam Berkley,Dion
Joseph Winter,Shawn Ruddy
Melanie Stone,Chrissy
Jason K. Wixom,Corner Man/Cop Corpse
Pat Barnett,Hettie
Takuya Kimura,Manji
Sôta Fukushi,Anotsu Kagehisa
Hayato Ichihara,Shira
Diogo Morgado,Jesus
Amber Rose Revah,Mary Magdalene
Greg Hicks,Pilate
Adrian Schiller,Caiaphas
Seann William Scott,Ted Morgan
Olivia Thirlby,Greta
Garret Dillahunt,Lucky Morgan
Kate Walsh,Kathleen Morgan
Michelle Pfeiffer,Rosie
Paul Rudd,Adam
Saoirse Ronan,Izzie
Tracey Ullman,Mother Nature
Kevin Costner,Bud Johnson
Paula Patton,Kate Madison
Kelsey Grammer,President Andrew Boone
Madeline Carroll,Molly Johnson
Ben Foster,Lance Armstrong
Chris O'Dowd,David Walsh
Guillaume Canet,Dr. Ferrari
Jesse Plemons,Floyd Landis
Vince Vaughn,Ricky
Jon Favreau,Bobby
Joe Goossen,Referee
Famke Janssen,Jessica
Jamie Bell,Bryon Widner
Danielle Macdonald,Julie Price
Daniel Henshall,Slayer
Bill Camp,Fred 'Hammer' Krager
Sarah Wayne Callies,Maria
Jeremy Sisto,Michael
Sofia Rosinsky,Lucy
Logan Creran,Oliver
Diane Kruger,Elsa
Djimon Hounsou,Kovax
Benoît Magimel,Tic-Tac
Denis Ménochet,Lucas
Audrey Tautou,Angélique
Samuel Le Bihan,Loic
Isabelle Carré,Rachel
Sophie Guillemin,Héloïse
Taylor Kitsch,Dr. Paul Lewis
Brendan Gleeson,Murray French
Liane Balaban,Kathleen
Gordon Pinsent,Simon
Salma Hayek,Everly
Hiroyuki Watanabe,Taiko
Laura Cepeda,Edith
Togo Igawa,The Sadist
Maxim Gaudette,The Killer
Sébastien Huberdeau,Jean-François
Karine Vanasse,Valérie
Martin Watier,Jean-François
Zoey Deutch,Danni
Mia Isaac,Rowan
Dylan O'Brien,Colin
Nadia Alexander,Harper
Gene Hackman,Lex Luthor
Christopher Reeve,Clark Kent/Kal-El/Superman
Marlon Brando,Jor-El
Ned Beatty,Otis
Ajay Devgn,Amay Patnaik
Ileana D'Cruz,Malini Patnaik
Saurabh Shukla,Rameshwar Singh
Amit Sial,Lallan Sudheer
Billy Crudup,Sam
Anton Yelchin,Quentin
Felicity Huffman,Emily
Selena Gomez,Kate
Aaron Abrams,Matt
Carly Pope,Kris
Kristin Booth,Abby
Josh Dean,Andrew
Nandamuri Balakrishna,Akhanda/Murali Krishna
Pragya Jaiswal,IAS Officer Saranya
Jagapathi Babu,Aghora Baba
Meka Srikanth,Varadarajulu
Anna Faris,Jane F.
John Krasinski,Brevin
Adam Brody,Steve the Dealer
Roscoe Lee Browne,Self
Jesse Metcalfe,Derek Miller
Bruce Willis,Dayton Chalmers
Lala Kent,Eva Chalmers
Natalie Eva Marie,Sasha Zindel
Jérémie Renier,Bruno
Déborah François,Sonia
Jérémie Segard,Steve
Fabrizio Rongione,Jeune Bandit
Eliza Scanlen,Milla
Michelle Lotters,Scarlett
Toby Wallace,Moses
Sora Wakaki,Maria
Ben Platt,Evan Hansen
Julianne Moore,Heidi Hansen
Kaitlyn Dever,Zoe Murphy
Amy Adams,Cynthia Murphy
Paul Walker,Ben Garvey
Piper Perabo,Lisa Garvey
Brooklynn Proulx,Katie Garvey
Bob Gunton,Father Ezra
Xavier Dolan,Tom
Pierre-Yves Cardinal,Francis
Lise Roy,Agathe
Evelyne Brochu,Sarah
Jonas Dassler,Fritz 'Fiete' Honka
Vasiliki Georgina Pseimada,Griechisches Mädchen (1970
Christine Jensen,Frau Rix
Greta Sophie Schmidt,Petra Schulz
Rachael Leigh Cook,Susan Whitaker
Damon Wayans Jr.,Nick Evans
Heather Graham,Tamara Taylor
Caitlin Howden,Melanie
Bruce Greenwood,Batman/Bruce Wayne
Jennifer Carpenter,Selina Kyle
Chris Cox,Father Callahan/Additional Voices
John DiMaggio,Chief Bullock/Big Bill Dust/Additional Voices
Jude Law,Rory O'Hara
Carrie Coon,Allison O'Hara
Oona Roche,Sam O'Hara
Charlie Shotwell,Ben O'Hara
Olivia Taylor Dudley,Angela
Michael Peña,Father Lozano
Dougray Scott,Roger
Djimon Hounsou,Vicar Imani
Tye Sheridan,Bart Bromley
Ana de Armas,Andrea Rivera
Helen Hunt,Ethel Bromley
John Leguizamo,Detective Espada
Sivakarthikeyan,Varun
Vinay Rai,Terry
Priyanka Arulmohan,Padhmini
Yogi Babu,Prathap
Brendan Fraser,Stu Miley
Bridget Fonda,Julie McElroy
John Turturro,Monkeybone
Chris Kattan,Organ Donor Stu
Marijke Pinoy,Moeder
Greg Timmermans,Ben
Cesar De Sutter,Jonas
Gilles De Schryver,Coppola
Robert Pattinson,Georges Duroy
Uma Thurman,Madeleine Forestier
Kristin Scott Thomas,Virginie Rousset
Christina Ricci,Clotilde de Marelle
Payman Maadi,Samad Majidi
Navid Mohammadzadeh,Naser Khakzad
Parinaz Izadyar,Elham
Farhad Aslani,Judge
Peter Billingsley,Ralphie Parker
Erinn Hayes,Sandy Parker
River Drosche,Mark
Julianna Layne,Julie
Megumi Ogata,Shinji Ikari
Megumi Hayashibara,Rei Ayanami (kashou
Yûko Miyamura,Asuka Langley Shikinami
Maaya Sakamoto,Mari Illustrious Makinami
Christina Ricci,Elizabeth
Jonathan Rhys Meyers,Noah
Jessica Lange,Mrs. Wurtzel
Anne Heche,Dr. Sterling
Lucas Till,Tripp
Jane Levy,Meredith
Thomas Lennon,Jim Dowd
Barry Pepper,Sheriff Rick
Toni Servillo,Giulio Andreotti
Anna Bonaiuto,Livia Danese
Giulio Bosetti,Eugenio Scalfari
Flavio Bucci,Franco Evangelisti
Keke Palmer,Wednesday
Vanessa Morgan,Destiny
Aunjanue Ellis-Taylor,Gloria May
